2024-09-28 15:34:36 | ERROR | stderr | Loading pt checkpoint shards:   0% Completed | 0/3 [00:00<?, ?it/s]
2024-09-28 15:34:36 | ERROR | stderr | 
2024-09-28 15:34:36 | ERROR | stderr | /hpc2hdd/home/qxiao183/anaconda3/envs/open_reasoner/lib/python3.10/site-packages/vllm/model_executor/model_loader/weight_utils.py:424: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
2024-09-28 15:34:36 | ERROR | stderr |   state = torch.load(bin_file, map_location="cpu")
2024-09-28 15:34:46 | ERROR | stderr | Loading pt checkpoint shards:  33% Completed | 1/3 [00:09<00:19,  9.58s/it]
2024-09-28 15:34:46 | ERROR | stderr | 
2024-09-28 15:34:56 | ERROR | stderr | Loading pt checkpoint shards:  67% Completed | 2/3 [00:19<00:09,  9.78s/it]
2024-09-28 15:34:56 | ERROR | stderr | 
2024-09-28 15:35:03 | ERROR | stderr | Loading pt checkpoint shards: 100% Completed | 3/3 [00:26<00:00,  8.56s/it]
2024-09-28 15:35:03 | ERROR | stderr | 
2024-09-28 15:35:03 | ERROR | stderr | Loading pt checkpoint shards: 100% Completed | 3/3 [00:26<00:00,  8.87s/it]
2024-09-28 15:35:03 | ERROR | stderr | 
2024-09-28 15:35:03 | ERROR | stderr | 
2024-09-28 15:35:24 | INFO | model_worker | Loading the model ['llama2-7b-game24-policy-hf'] on worker d5c8ffef, worker type: vLLM worker...
2024-09-28 15:35:24 | INFO | model_worker | Register to controller
2024-09-28 15:35:24 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m869350[0m]
2024-09-28 15:35:24 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
